PLAYER	TEAM	AGE	GOALS	GOALS FROM PENALTY	SHOTS	SHOTS_ON_TARGET	AVG_SHOT_DISTANCE	SHOTS_GOALS	NON-PENALTY-SHOTS-GOALS
Alvarez_Julio	ARG	22	4	0	11	8	12.2	0.4	0.4
Gakpo_Cody	NED	23	3	0	5	3	19.9	0.6	0.6
Giroud_Olivier	FRA	36	4	0	16	6	11	0.2	0.2
Mbappe_Kylian	FRA	23	8	2	29	11	17.1	0.3	0.2
Messi_Lionel 	ARG	35	7	4	27	13	21	0.3	0.1
Morata_Alvaro	SPA	30	3	0	8	5	10.3	0.4	0.4
Ramos_Goncalo	POR	21	3	0	7	5	11.3	0.4	0.4
Rashford_Marcus	ENG	25	3	0	11	6	16.6	0.3	0.3
Richarlison	BRA	25	3	0	8	4	12.1	0.4	0.4
Saka_Bukayo	ENG	21	3	0	7	5	14.9	0.4	0.4
Valencia_Enner	ECU	33	3	1	8	3	18.9	0.4	0.2
